,Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode,Shipping Cost,Distance,order_coords
15,DEBIT,2,1,-259.5799866,324.4700012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Sade,19478,Lancaster,XXXXXXXXX,Corporate,PR,257 Harvest Close,725.0,2,Fitness,18.28404999,-66.03705597,Pacific Asia,Sangli,India,19478,1/13/2018 7:33,75925,1360,3.279999971,0.01,179240,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,South Asia,Maharashtra,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 7:33,First Class,7.61,14216.76659906932,"Sangli, Miraj, Sangli District, Maharashtra, 416416, India"
16,PAYMENT,5,2,-246.3600006,321.2000122,Late delivery,1,73,Sporting Goods,Canovanas,Puerto Rico,XXXXXXXXX,Brynne,19477,Giles,XXXXXXXXX,Corporate,PR,7342 Hazy Beacon Park,729.0,2,Fitness,18.3957901,-65.87288666,Pacific Asia,Seúl,Corea del Sur,19477,1/13/2018 7:12,75924,1360,6.559999943,0.02,179239,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,Eastern Asia,Seúl,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/18/2018 7:12,Second Class,5.34,6744.543290379447,
17,CASH,2,1,23.84000015,317.9200134,Late delivery,1,73,Sporting Goods,Paramount,EE. UU.,XXXXXXXXX,Ciara,19476,Bird,XXXXXXXXX,Corporate,CA,7787 Lazy Corners,90723.0,2,Fitness,33.89869309,-118.1745605,Pacific Asia,Jabalpur,India,19476,1/13/2018 6:51,75923,1360,9.829999924,0.029999999,179238,327.75,0.079999998,1,327.75,317.9200134,23.84000015,South Asia,Madhya Pradesh,CLOSED,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 6:51,First Class,7.99,13406.190471184382,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
18,DEBIT,2,1,102.2600021,314.6400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Bo,19475,Griffin,XXXXXXXXX,Consumer,PR,5136 Rustic Pioneer Estates,725.0,2,Fitness,18.233778,-66.0370636,Pacific Asia,Jabalpur,India,19475,1/13/2018 6:30,75922,1360,13.10999966,0.039999999,179237,327.75,0.330000013,1,327.75,314.6400146,102.2600021,South Asia,Madhya Pradesh,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 6:30,First Class,7.23,14130.318459730002,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
19,PAYMENT,0,0,87.18000031,311.3599854,Shipping on time,0,73,Sporting Goods,Mount Prospect,EE. UU.,XXXXXXXXX,Kim,19474,Simon,XXXXXXXXX,Consumer,IL,1723 Tawny Via,60056.0,2,Fitness,42.04830551,-87.96134186,Pacific Asia,Jabalpur,India,19474,1/13/2018 6:09,75921,1360,16.38999939,0.050000001,179236,327.75,0.280000001,1,327.75,311.3599854,87.18000031,South Asia,Madhya Pradesh,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/13/2018 18:09,Same Day,9.01,12678.77562965308,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
20,TRANSFER,0,0,154.8600006,309.7200012,Shipping on time,0,73,Sporting Goods,Long Beach,EE. UU.,XXXXXXXXX,Kellie,19473,Farmer,XXXXXXXXX,Corporate,CA,7111 Silent Fox Gardens,90813.0,2,Fitness,33.78245163,-118.1922455,Pacific Asia,Jabalpur,India,19473,1/13/2018 5:48,75920,1360,18.03000069,0.059999999,179235,327.75,0.5,1,327.75,309.7200012,154.8600006,South Asia,Madhya Pradesh,PROCESSING,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/13/2018 17:48,Same Day,9.58,13417.817018062971,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
21,TRANSFER,5,4,82.30000305,304.8099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Alma,19472,Conley,XXXXXXXXX,Corporate,PR,3732 Old Mountain Bank,725.0,2,Fitness,18.28337669,-66.03705597,Pacific Asia,Jabalpur,India,19472,1/13/2018 5:27,75919,1360,22.94000053,0.07,179234,327.75,0.270000011,1,327.75,304.8099976,82.30000305,South Asia,Madhya Pradesh,PENDING,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/18/2018 5:27,Standard Class,2.85,14126.105840936256,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
22,TRANSFER,4,2,22.37000084,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,EE. UU.,XXXXXXXXX,Yeo,19471,Bird,XXXXXXXXX,Corporate,CA,6217 Rustic Lake Forest,95670.0,2,Fitness,38.61177445,-121.2828674,Pacific Asia,Geelong,Australia,19471,1/13/2018 5:06,75918,1360,29.5,0.090000004,179233,327.75,0.079999998,1,327.75,298.25,22.37000084,Oceania,Victoria,PENDING,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/17/2018 5:06,Second Class,5.64,12841.970625244534,"Geelong, City of Greater Geelong, Victoria, 3218, Australia"
23,TRANSFER,3,2,17.70000076,294.980011,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Lucy,19470,Mcknight,XXXXXXXXX,Corporate,PR,1082 Quiet Treasure Link,725.0,2,Fitness,18.20733643,-66.03705597,Pacific Asia,Geelong,Australia,19470,1/13/2018 4:45,75917,1360,32.77999878,0.100000001,179232,327.75,0.059999999,1,327.75,294.980011,17.70000076,Oceania,Victoria,CANCELED,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/16/2018 4:45,Second Class,4.34,16335.158019680783,"Geelong, City of Greater Geelong, Victoria, 3218, Australia"
24,TRANSFER,2,2,90.27999878,288.4200134,Shipping canceled,0,73,Sporting Goods,Billings,EE. UU.,XXXXXXXXX,Simone,19469,Vance,XXXXXXXXX,Corporate,MT,3176 Round Gate,59102.0,2,Fitness,45.78831101,-108.5594101,Pacific Asia,Brisbane,Australia,19469,1/13/2018 4:24,75916,1360,39.33000183,0.119999997,179231,327.75,0.310000002,1,327.75,288.4200134,90.27999878,Oceania,Queensland,SUSPECTED_FRAUD,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 4:24,Second Class,4.17,12767.486267980257,"Brisbane City, Queensland, Australia"
25,DEBIT,6,2,131.1699982,285.1400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Roary,19468,Wheeler,XXXXXXXXX,Corporate,PR,1426 Fallen Line,725.0,2,Fitness,18.26163292,-66.03705597,Pacific Asia,Mandurah,Australia,19468,1/13/2018 4:03,75915,1360,42.61000061,0.129999995,179230,327.75,0.460000008,1,327.75,285.1400146,131.1699982,Oceania,Australia Occidental,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/19/2018 4:03,Second Class,4.85,18413.76003516079,"Mandurah, City Of Mandurah, Western Australia, Australia"
26,TRANSFER,5,2,90.54000092,278.5899963,Late delivery,1,73,Sporting Goods,Wilkes Barre,EE. UU.,XXXXXXXXX,Quail,19467,Ashley,XXXXXXXXX,Consumer,PA,9814 Emerald Prairie Limits,18702.0,2,Fitness,41.23545456,-75.86985779,Pacific Asia,Mandurah,Australia,19467,1/13/2018 3:42,75914,1360,49.15999985,0.150000006,179229,327.75,0.330000013,1,327.75,278.5899963,90.54000092,Oceania,Australia Occidental,PENDING,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/18/2018 3:42,Second Class,4.46,18602.986287493437,"Mandurah, City Of Mandurah, Western Australia, Australia"
27,PAYMENT,4,4,82.58999634,275.3099976,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Hannah,19466,Velez,XXXXXXXXX,Corporate,PR,8271 Tawny Elk Abbey,725.0,2,Fitness,18.27022362,-66.0370636,Pacific Asia,Guilin,China,19466,1/13/2018 3:21,75913,1360,52.43999863,0.159999996,179228,327.75,0.300000012,1,327.75,275.3099976,82.58999634,Eastern Asia,Guangxi,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/17/2018 3:21,Standard Class,3.88,15173.299027207091,"桂林市, 广西壮族自治区, 中国"
28,DEBIT,3,4,-17.13999939,272.0299988,Advance shipping,0,73,Sporting Goods,Roseville,EE. UU.,XXXXXXXXX,Evelyn,19465,Kelly,XXXXXXXXX,Corporate,MI,3931 Gentle Ramp,48066.0,2,Fitness,41.86886215,-84.57365418,Pacific Asia,Guilin,China,19465,1/13/2018 3:00,75912,1360,55.72000122,0.170000002,179227,327.75,-0.059999999,1,327.75,272.0299988,-17.13999939,Eastern Asia,Guangxi,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/16/2018 3:00,Standard Class,3.09,12421.67421226145,"桂林市, 广西壮族自治区, 中国"
29,TRANSFER,2,4,23.64999962,268.7600098,Advance shipping,0,73,Sporting Goods,Bellflower,EE. UU.,XXXXXXXXX,Jael,19464,Mcfarland,XXXXXXXXX,Consumer,CA,9699 Honey Rise,90706.0,2,Fitness,33.90942383,-118.1253586,Pacific Asia,Guilin,China,19464,1/13/2018 2:39,75911,1360,59.0,0.180000007,179226,327.75,0.090000004,1,327.75,268.7600098,23.64999962,Eastern Asia,Guangxi,PROCESSING,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 2:39,Standard Class,3.31,11713.370376807352,"桂林市, 广西壮族自治区, 中国"
30,DEBIT,6,4,73.41999817,262.2000122,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Teagan,19463,Romero,XXXXXXXXX,Consumer,PR,1564 Rocky Terrace,725.0,2,Fitness,18.27526093,-66.0370636,Pacific Asia,Guilin,China,19463,1/13/2018 2:18,75910,1360,65.55000305,0.200000003,179225,327.75,0.280000001,1,327.75,262.2000122,73.41999817,Eastern Asia,Guangxi,ON_HOLD,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/19/2018 2:18,Standard Class,1.67,15172.743543499828,"桂林市, 广西壮族自治区, 中国"
31,DEBIT,5,4,113.0699997,245.8099976,Late delivery,1,73,Sporting Goods,Wheaton,EE. UU.,XXXXXXXXX,Joan,19462,Wilder,XXXXXXXXX,Consumer,IL,4294 High Passage,60187.0,2,Fitness,41.86544037,-88.10990143,Pacific Asia,Delhi,India,19462,1/13/2018 1:57,75909,1360,81.94000244,0.25,179224,327.75,0.460000008,1,327.75,245.8099976,113.0699997,South Asia,Delhi,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/18/2018 1:57,Standard Class,3.11,12057.031351418535,"New Delhi District, Delhi, India"
32,PAYMENT,4,4,24.57999992,327.75,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Basia,19461,Watts,XXXXXXXXX,Consumer,PR,5918 Golden Beacon Freeway,725.0,2,Fitness,18.28713608,-66.03705597,Pacific Asia,Delhi,India,19461,1/13/2018 1:36,75908,1360,0.0,0.0,179223,327.75,0.079999998,1,327.75,327.75,24.57999992,South Asia,Delhi,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/17/2018 1:36,Standard Class,1.31,13491.15319161993,"New Delhi District, Delhi, India"
33,DEBIT,2,1,-97.33999634,324.4700012,Late delivery,1,73,Sporting Goods,Detroit,EE. UU.,XXXXXXXXX,Dominique,19460,Rogers,XXXXXXXXX,Consumer,MI,3915 Broad Lookout,48238.0,2,Fitness,42.39110184,-83.13121796,Pacific Asia,Suzhou,China,19460,1/13/2018 1:15,75907,1360,3.279999971,0.01,179222,327.75,-0.300000012,1,327.75,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 1:15,First Class,6.23,10906.1938169262,"肃州区, 西北街街道, 肃州区, 酒泉市, 甘肃省, 735000, 中国"
34,PAYMENT,2,1,-425.5799866,321.2000122,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,XXXXXXXXX,Ainsley,19459,Mathis,XXXXXXXXX,Consumer,TX,7190 Silver Horse Glade,75220.0,2,Fitness,32.86539459,-96.86858368,Pacific Asia,Suzhou,China,19459,1/13/2018 0:54,75906,1360,6.559999943,0.02,179221,327.75,-1.330000043,1,327.75,321.2000122,-425.5799866,Eastern Asia,Gansu,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 0:54,First Class,7.6,11811.137913190852,"肃州区, 西北街街道, 肃州区, 酒泉市, 甘肃省, 735000, 中国"
35,PAYMENT,2,1,152.6000061,317.9200134,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Aurora,19458,Sharp,XXXXXXXXX,Corporate,PR,830 Broad Beacon Maze,725.0,2,Fitness,18.24074173,-66.03705597,Pacific Asia,Singapur,Singapur,19458,1/13/2018 0:33,75905,1360,9.829999924,0.029999999,179220,327.75,0.479999989,1,327.75,317.9200134,152.6000061,Southeast Asia,Singapur,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 0:33,First Class,7.02,6768.898249327551,
36,CASH,2,1,151.0299988,314.6400146,Late delivery,1,73,Sporting Goods,Carlisle,EE. UU.,XXXXXXXXX,Libby,19457,Bray,XXXXXXXXX,Corporate,PA,6127 Dewy Goose Downs,17013.0,2,Fitness,40.03171921,-76.87709808,Pacific Asia,Hubli,India,19457,1/13/2018 0:12,75904,1360,13.10999966,0.039999999,179219,327.75,0.479999989,1,327.75,314.6400146,151.0299988,South Asia,Karnataka,CLOSED,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/15/2018 0:12,First Class,7.37,13226.963105407704,"Hubballi, Hubballi Urban Taluku, Dharwad District, Karnataka, 580020, India"
37,DEBIT,2,1,62.27000046,311.3599854,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,XXXXXXXXX,Amy,19456,Lindsay,XXXXXXXXX,Corporate,TX,1188 Old Abbey,75228.0,2,Fitness,32.81010819,-96.68649292,Pacific Asia,Wollongong,Australia,19456,1/12/2018 23:51,75903,1360,16.38999939,0.050000001,179218,327.75,0.200000003,1,327.75,311.3599854,62.27000046,Oceania,Nueva Gales del Sur,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/14/2018 23:51,First Class,7.29,13873.695290927131,"Wollongong, Wollongong City Council, New South Wales, 2500, Australia"
38,DEBIT,1,0,35.0,309.7200012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Ivory,19455,Parks,XXXXXXXXX,Consumer,PR,7004 Hazy Lake Townline,725.0,2,Fitness,18.28604889,-66.03705597,Pacific Asia,Wollongong,Australia,19455,1/12/2018 23:30,75902,1360,18.03000069,0.059999999,179217,327.75,0.109999999,1,327.75,309.7200012,35.0,Oceania,Nueva Gales del Sur,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/13/2018 11:30,Same Day,9.9,15958.89216878888,"Wollongong, Wollongong City Council, New South Wales, 2500, Australia"
39,TRANSFER,1,0,57.29999924,304.8099976,Shipping canceled,0,73,Sporting Goods,Newark,EE. UU.,XXXXXXXXX,Karina,19454,Prince,XXXXXXXXX,Consumer,DE,2556 Umber Autoroute,19702.0,2,Fitness,39.68188095,-75.64421082,Pacific Asia,Wollongong,Australia,19454,1/12/2018 23:09,75901,1360,22.94000053,0.07,179216,327.75,0.189999998,1,327.75,304.8099976,57.29999924,Oceania,Nueva Gales del Sur,CANCELED,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,1/13/2018 11:09,Same Day,9.72,15889.850705304836,"Wollongong, Wollongong City Council, New South Wales, 2500, Australia"
